job_id,title,city,experience_level,employment_type,salary_min,salary_max,skills,source_platform,salary_avg
1,Data Scientist,Delhi,Entry,Full-time,336579,579640,"Pandas, Python",Naukri,458109.5
2,QA Engineer,Bangalore,Mid,Full-time,714629,825619,"Automation, Manual Testing",LinkedIn,770124.0
3,Cloud Engineer,Mumbai,Mid,Contract,745852,1008039,"Azure, Kubernetes",Glassdoor,876945.5
4,Machine Learning Engineer,Pune,Mid,Internship,653587,727899,"Python, PyTorch, TensorFlow, SQL, AWS",Naukri,690743.0
5,Database Administrator,Hyderabad,Senior,Full-time,2357713,2484567,"Oracle, MySQL, Backup & Recovery, SQL",Glassdoor,2421140.0
6,Data Analyst,Mumbai,Senior,Full-time,1688197,1965340,"Python, Power BI",Indeed,1826768.5
7,Database Administrator,Chennai,Senior,Internship,1945056,2049977,"SQL, MySQL, Backup & Recovery, Oracle",Naukri,1997516.5
8,Data Engineer,Noida,Mid,Contract,960795,1156796,"ETL, Python, AWS",Indeed,1058795.5
9,Data Analyst,Noida,Mid,Full-time,710615,999988,"Excel, Python, Tableau, Power BI",Indeed,855301.5
10,Data Engineer,Pune,Mid,Contract,894318,1085607,"Spark, AWS, ETL, SQL",Naukri,989962.5
11,Machine Learning Engineer,Pune,Entry,Full-time,498123,560474,"TensorFlow, AWS",Glassdoor,529298.5
12,Business Analyst,Hyderabad,Senior,Internship,2181571,2370275,"Tableau, SQL, Power BI, Communication",Glassdoor,2275923.0
13,Cloud Engineer,Chennai,Mid,Internship,827942,919402,"AWS, Docker, Kubernetes, Python, Azure",LinkedIn,873672.0
14,Web Developer,Kolkata,Senior,Full-time,1984154,2234041,"Node.js, HTML, JavaScript",Naukri,2109097.5
15,Machine Learning Engineer,Bangalore,Mid,Internship,1060703,1328719,"TensorFlow, Python, SQL, PyTorch",LinkedIn,1194711.0
16,Data Scientist,Gurgaon,Senior,Contract,1463738,1547395,"Pandas, SQL, Statistics, Machine Learning, Python",LinkedIn,1505566.5
17,Cloud Engineer,Mumbai,Senior,Internship,1983119,2147964,"AWS, Azure, Python, Docker, Kubernetes",Indeed,2065541.5
18,Data Analyst,Kolkata,Senior,Contract,1661829,1713714,"SQL, Excel",Naukri,1687771.5
19,Data Scientist,Chennai,Entry,Contract,362391,485392,"SQL, Pandas, Machine Learning, Statistics, Python",LinkedIn,423891.5
20,Database Administrator,Mumbai,Mid,Full-time,945496,1108493,"Linux, Oracle, MySQL, SQL",LinkedIn,1026994.5
21,Data Scientist,Noida,Entry,Full-time,365183,465407,"Pandas, Statistics, Python",Indeed,415295.0
22,Business Analyst,Delhi,Entry,Full-time,319761,485925,"SQL, Tableau",Glassdoor,402843.0
23,Data Scientist,Pune,Entry,Internship,426185,532217,"Python, SQL, Statistics, Pandas, Machine Learning",Glassdoor,479201.0
24,Web Developer,Delhi,Mid,Contract,982995,1238348,"CSS, Node.js, React, HTML, JavaScript",Glassdoor,1110671.5
25,QA Engineer,Kolkata,Senior,Contract,1857676,1922661,"Automation, Python",LinkedIn,1890168.5
26,Cloud Engineer,Pune,Senior,Contract,1368005,1641179,"AWS, Python, Docker",LinkedIn,1504592.0
27,Software Engineer,Hyderabad,Mid,Contract,911699,972117,"Git, SQL",Naukri,941908.0
28,Web Developer,Chennai,Entry,Internship,403752,488060,"React, JavaScript, HTML, Node.js",Naukri,445906.0
29,Database Administrator,Remote,Senior,Full-time,2327501,2433378,"MySQL, Backup & Recovery, SQL, Linux",LinkedIn,2380439.5
30,Machine Learning Engineer,Pune,Mid,Contract,968857,1098160,"AWS, PyTorch",Glassdoor,1033508.5
31,Data Scientist,Delhi,Entry,Full-time,494620,689644,"Machine Learning, Pandas, Statistics",LinkedIn,592132.0
32,Software Engineer,Chennai,Senior,Contract,1753614,1936103,"SQL, Java, Git, Python, React",Naukri,1844858.5
33,Data Analyst,Chennai,Entry,Contract,368670,461027,"Tableau, Python, Power BI, SQL, Excel",Naukri,414848.5
34,Data Scientist,Pune,Senior,Internship,2358729,2447550,"SQL, Python, Pandas, Machine Learning, Statistics",LinkedIn,2403139.5
35,Machine Learning Engineer,Mumbai,Entry,Internship,446770,728540,"AWS, TensorFlow, Python, PyTorch, SQL",LinkedIn,587655.0
36,Business Analyst,Pune,Entry,Internship,475612,752121,"Power BI, Excel, Tableau",Indeed,613866.5
37,Data Scientist,Bangalore,Mid,Full-time,704633,968696,"Machine Learning, Pandas, Python, Statistics, SQL",Glassdoor,836664.5
38,Software Engineer,Chennai,Mid,Full-time,1005445,1128615,"React, Git, SQL, Python",Indeed,1067030.0
39,Data Analyst,Delhi,Entry,Contract,369590,429618,"Tableau, Python",Naukri,399604.0
40,Machine Learning Engineer,Chennai,Senior,Contract,2272531,2352846,"AWS, TensorFlow, SQL, Python, PyTorch",Glassdoor,2312688.5
41,Data Analyst,Kolkata,Senior,Internship,2104496,2172839,"Tableau, Power BI, Python, SQL",Naukri,2138667.5
42,Web Developer,Delhi,Senior,Internship,2043894,2276663,"Node.js, CSS, HTML, React",Glassdoor,2160278.5
43,Business Analyst,Pune,Senior,Internship,2349107,2617663,"Power BI, Tableau",Indeed,2483385.0
44,Software Engineer,Remote,Mid,Internship,831623,997532,"React, Git, SQL",Indeed,914577.5
45,Data Engineer,Hyderabad,Senior,Contract,1902940,1977420,"ETL, SQL, Python",Indeed,1940180.0
46,Data Engineer,Bangalore,Entry,Internship,460241,732994,"AWS, Spark",Naukri,596617.5
47,QA Engineer,Noida,Entry,Internship,363959,452643,"Selenium, Python",Glassdoor,408301.0
48,Software Engineer,Kolkata,Entry,Full-time,446120,561445,"Git, Python",Glassdoor,503782.5
49,Database Administrator,Kolkata,Senior,Internship,2258596,2420463,"MySQL, Linux, Oracle, Backup & Recovery, SQL",Indeed,2339529.5
50,Web Developer,Gurgaon,Senior,Internship,2122479,2192790,"CSS, JavaScript, Node.js, React",Naukri,2157634.5
51,Cloud Engineer,Pune,Entry,Full-time,400410,632324,"Azure, AWS, Python",Naukri,516367.0
52,Business Analyst,Kolkata,Mid,Internship,632645,736865,"Communication, SQL, Power BI, Excel, Tableau",Glassdoor,684755.0
53,Data Analyst,Delhi,Mid,Internship,882182,1128138,"Python, Excel, Tableau",Glassdoor,1005160.0
54,Business Analyst,Bangalore,Mid,Internship,950682,1178714,"Excel, Communication, SQL, Power BI, Tableau",Glassdoor,1064698.0
